成本承担团队,成本团队简称,岗位名称,岗位简称
产业安全平台部-云安全基础产品中心-腾讯云安全其它-腾讯云安全其它,云安全,-,无
云产品部-AI基础产品中心-腾讯云AI平台-腾讯云AI平台,云产品部,QA,交付
云产品部-大数据及人工智能产品中心-腾讯云AI计算机视觉-腾讯云AI计算机视觉,云产品部,测试工程师,交付
云产品部-大数据及人工智能产品中心-腾讯云AI语义-腾讯云AI语义,云产品部,产品架构师,交付
云产品部-大数据及人工智能产品中心-腾讯云大数据基础-腾讯云大数据基础,云产品部,产品售前架构师,交付
云产品部-大数据及人工智能产品中心-腾讯云云智平台-腾讯云云智平台,云产品部,服务项目经理（SPM）,PM
云产品部-经营平台产品中心-腾讯云经营平台产品其它-腾讯云经营平台产品其它,云产品部,管理岗类,交付
云产品部-区块链产品中心-腾讯云区块链-腾讯云区块链_TBaaS,云产品部,行业售前架构师,售前
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它,交付中心,行政,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-TAC中心,运维服务tac中心,交付工程师,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-产品交付一组,交付中心,私有云运维服务化,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-服务管理组,交付中心,系统架构师（SA）,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-华北支持组,交付中心,研发工程师,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-华东支持组,交付中心,研发项目经理,PM
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-华南支持组,交付中心,运维工程师,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-技术支持组,交付中心,运维工程师-公有云AI,公有云
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-金融行业交付组,交付中心,运维工程师-私有云平台,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-生态赋能组,交付中心,运营,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-西南支持组,交付中心,IDC交付运维经理,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-项目交付能力组,交付中心,PMO,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-研发组,交付中心,产品经理/运营经理/数据分析经理,交付
云产品部-区域生态交付中心-腾讯云区域生态交付其它-腾讯云区域生态交付其它-运营产品组,交付中心,UI视觉设计师,交付
云产品部-容器产品中心-腾讯云TKE企业版-腾讯云TKE企业版,云产品部,交互设计师,交付
云产品部-数据库产品中心-腾讯云TDSQL-腾讯云TDSQL,云产品部,财务,交付
云产品部-数据库产品中心-腾讯云数据库产品其它-腾讯云数据库产品其它,云产品部,HR,交付
云产品部-中间件产品中心-腾讯云中间件产品其它-腾讯云中间件产品其它,云产品部,政务文案经理,交付
云产品部-专有云产品中心-腾讯云TCE-腾讯云TCE,云产品部,交付项目经理,PM
云服务平台部-大客户服务中心-腾讯云大客户服务其它-腾讯云大客户服务其它,云服务平台部,私有云运维工程师,交付
云服务平台部-开发者服务中心-腾讯云开发者服务其它-腾讯云开发者服务其它,云服务平台部,,
云渠道拓展部-运营支持组-腾讯云渠道生态业务其它-腾讯云渠道生态业务其它,渠道,,
云业务其它-智慧零售业务中心-腾讯云智慧零售业务其它-腾讯云智慧零售业务其它,零售,,
云业务其它-智慧医疗健康业务中心-腾讯云医疗业务其它-腾讯云医疗业务其它,医疗,,
智慧行业产品二部-教育产业中心-腾讯云智慧教育-腾讯云云南智慧教育,二部,,
智慧行业产品二部-教育业务中心-腾讯云教育业务其它-腾讯云教育业务其它,二部,,
智慧行业产品二部-业务交付中心-腾讯云智慧城市-腾讯云智慧城市,二部,,
智慧行业产品二部-智慧社区产品中心-腾讯云智慧社区-腾讯云智慧社区,二部,,
智慧行业产品三部-产品解决方案中心-腾讯云政务应用中台-腾讯云政务应用中台_互联网,三部,,
智慧行业产品三部-工程项目交付中心-腾讯云政务民生业务其它-腾讯云政务民生业务其它,三部,,
智慧行业产品三部-生态产品中心-腾讯云政务民生业务其它-腾讯云政务民生业务其它,三部,,
智慧行业产品三部-政法业务中心-腾讯云政务民生业务其它-腾讯云政务民生业务其它,三部,,
智慧行业产品三部-政务业务中心-腾讯云政务民生业务其它-腾讯云政务民生业务其它,三部,,
智慧行业产品四部-行业产品与交付中心-腾讯云文旅通-腾讯云文旅通,四部,,
智慧行业产品四部-基础产品与交付中心-腾讯云文旅大数据-腾讯云文旅大数据,四部,,
智慧行业产品五部-金融业务中心-腾讯云金融业务其它-腾讯云金融业务其它,金融,,
智慧行业产品五部-金融业务中心-腾讯云金融专有云-腾讯云金融专有云,金融,,
智慧行业产品五部-智慧IDC业务中心-腾讯云智慧IDC-腾讯云智慧IDC,企业,,
智慧行业产品五部-智慧广电业务中心-腾讯云广电业务其它-腾讯云广电业务其它,企业,,
智慧行业产品五部-智慧交通业务中心-腾讯云交通云业务其它-腾讯云交通云业务其它,企业,,
智慧行业产品五部-智慧能源业务中心-腾讯云能源业务其它-腾讯云能源业务其它,企业,,
智慧行业产品五部-智能制造业务中心-腾讯云工业云业务其它-腾讯云工业云业务其它,企业,,
智慧行业产品五部-智能终端业务组-腾讯云终端业务其它-腾讯云终端业务其它,企业,,
桌面安全产品部-行业产品中心-腾讯云安全服务-腾讯云安全服务其它,桌面安全,,
